raw_occurrence_id,trial_id,registry_intervention_type,raw_intervention,raw_other_names,raw_description,raw_arm_labels,component_index,canonical_asset,aliases,role,asset_scope,target,mechanism_class,pipeline_inclusion,exclusion_reason,source_id,mapping_confidence,manual_review_status
NCT04311606-072,NCT04311606,DRUG,Sub-tenon injection of hyaluronidase (HA) followed by a sub-tenon injection of aflibercept,Group 2,"The study will randomly assign a total of eight subjects into this treatment arm to receive a sub-tenon injection of hyaluronidase (HA) followed by injection of 4 mg aflibercept (total volume 1.1 ml) in the worse eye. Injections will be given three times: on day 1, day 14 and day 28. Subjects will be followed until day 90.",Hyaluronidase and aflibercept,1,Hyaluronidase,Sub-tenon injection of hyaluronidase (HA) followed by a sub-tenon injection of aflibercept | Group 2,adjunct/supportive,adjunct/supportive,Hyaluronan,Extracellular-matrix degradation,No,Adjunct/local procedure component,ClinicalTrials.gov; NCT04311606,high,PASS_CURATED_RULE
NCT04311606-072,NCT04311606,DRUG,Sub-tenon injection of hyaluronidase (HA) followed by a sub-tenon injection of aflibercept,Group 2,"The study will randomly assign a total of eight subjects into this treatment arm to receive a sub-tenon injection of hyaluronidase (HA) followed by injection of 4 mg aflibercept (total volume 1.1 ml) in the worse eye. Injections will be given three times: on day 1, day 14 and day 28. Subjects will be followed until day 90.",Hyaluronidase and aflibercept,2,Aflibercept,Sub-tenon injection of hyaluronidase (HA) followed by a sub-tenon injection of aflibercept | Group 2,active/intervention,pipeline/approved asset,VEGF-A/PlGF,VEGF pathway inhibition,Yes,NA (included; local repurposing program),ClinicalTrials.gov; NCT04311606,high,PASS_CURATED_RULE
NCT04311606-073,NCT04311606,DRUG,Sub-tenon injection of hyaluronidase (HA) alone,Group 3,"The study will randomly assign a total of eight subjects into this treatment arm to receive a sub-tenon injection of hyaluronidase (HA) injection alone (total volume 1.1 ml) in the worse eye. Injections will be given three times: on day 1, day 14 and day 28. Subjects will be followed until day 90.",Hyaluronidase alone,1,Hyaluronidase,Sub-tenon injection of hyaluronidase (HA) alone | Group 3,adjunct/supportive,adjunct/supportive,Hyaluronan,Extracellular-matrix degradation,No,Adjunct/local procedure component,ClinicalTrials.gov; NCT04311606,high,PASS_CURATED_RULE
NCT04548284-262,NCT04548284,DRUG,Glucocorticoids,NR (none reported),"Periorbital injection of glucocorticoid. Once every 3 weeks, the number of injections was determined according to the condition of the eyes during the follow-up.",Periorbitally Injected Glucocorticoids,1,Methylprednisolone,Glucocorticoids,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT04548284,high,PASS_CURATED_RULE
NCT04583735-254,NCT04583735,BIOLOGICAL,TEPEZZA,teprotumumab-trbw | HZN-001,Intravenous infusion,TEPEZZA,1,Teprotumumab,TEPEZZA | teprotumumab-trbw | HZN-001,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT04583735,high,PASS_CURATED_RULE
NCT04583735-255,NCT04583735,DRUG,Placebo,sodium chloride,Intravenous infusion,Placebo,1,Placebo,sodium chloride,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT04583735,high,PASS_CURATED_RULE
NCT04598815-245,NCT04598815,DRUG,Sirolimus,Rapamycin,"Group Sirolimus: Patients will receive a first dose of Sirolimus of one 2 mg tablet on the first day, given approximately at 10 am, followed by 0.5 mg tablet per day for 12 weeks.

Group Methylprednisolone: Methylprednisolone pulse therapy will be administered for 12 weeks as follows: 500 mg iv once weekly for 6 weeks, then 250 mg iv once weekly for a further 6 weeks, for a cumulative dose 4.5 g.",Methylprendnisolone | Sirolimus,1,Sirolimus (rapamycin),Sirolimus | Rapamycin,active/intervention,pipeline/approved asset,mTOR,mTOR inhibition,Yes,NA (included),ClinicalTrials.gov; NCT04598815,high,PASS_CURATED_RULE
NCT04737330-118,NCT04737330,DRUG,Secukinumab,AIN457,"Secukinumab 300 mg s.c. at Baseline, Week 1, Week 2, Week 3, Week 4, Week 8, Week 12",Secukinumab 300 mg,1,Secukinumab,AIN457,active/intervention,pipeline/approved asset,IL-17A,IL-17A inhibition,Yes,NA (included),ClinicalTrials.gov; NCT04737330,high,PASS_CURATED_RULE
NCT04737330-119,NCT04737330,DRUG,Placebo,NR (none reported),"Placebo s.c. at Baseline, Weeks 1, Week 2, Week 3, Week 4, Week 8, Week 12",Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT04737330,high,PASS_CURATED_RULE
NCT04776993-087,NCT04776993,DRUG,Methimazole,MMI,Methimazole for 72 weeks,Methimazole,1,Methimazole / antithyroid drug,Methimazole | MMI,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT04776993,high,PASS_CURATED_RULE
NCT04776993-088,NCT04776993,PROCEDURE,Radioiodine or thyroidectomy,Thyroid ablation,Treatment with radioiodine or with thyroidectomy,Thyroid ablation,1,Radioiodine,Radioiodine or thyroidectomy | Thyroid ablation,procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT04776993,high,PASS_CURATED_RULE
NCT04776993-088,NCT04776993,PROCEDURE,Radioiodine or thyroidectomy,Thyroid ablation,Treatment with radioiodine or with thyroidectomy,Thyroid ablation,2,Total thyroidectomy,Radioiodine or thyroidectomy | Thyroid ablation,procedure,procedure,Thyroid gland,Surgical elimination of thyroid hormone source,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT04776993,high,PASS_CURATED_RULE
NCT04876534-007,NCT04876534,DRUG,Tocilizumab 20 Mg/mL Intravenous Solution,Actemra,Intravenous administration,Tocilizumab,1,Tocilizumab,Tocilizumab 20 Mg/mL Intravenous Solution | Actemra,active/intervention,pipeline/approved asset,IL-6R,IL-6 receptor blockade,Yes,NA (included),ClinicalTrials.gov; NCT04876534,high,PASS_CURATED_RULE
NCT04876534-008,NCT04876534,DRUG,MethylPREDNISolone Injectable Solution,Solumedrol,Intravenous administration,Methylprednisolone,1,Methylprednisolone,MethylPREDNISolone Injectable Solution | Solumedrol,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT04876534,high,PASS_CURATED_RULE
NCT04936854-157,NCT04936854,DRUG,Sirolimus 1 mg Oral Tablet,Rapamycin | Rapamune,"2 mg Sirolimus (two 1 mg tablets) on the first day, followed by 0,5 mg Sirolimus (half 1 mg tablet) per day for 12 weeks.",Sirolimus,1,Sirolimus (rapamycin),Sirolimus 1 mg Oral Tablet | Rapamycin | Rapamune,active/intervention,pipeline/approved asset,mTOR,mTOR inhibition,Yes,NA (included),ClinicalTrials.gov; NCT04936854,high,PASS_CURATED_RULE
NCT04936854-158,NCT04936854,DRUG,Methylprednisolone,Solu-Medrol,"500 mg Methylprednisolone intravenously once a week for 6 weeks, followed by 250 mg once a week for 6 weeks. Total period of treatment 12 weeks.",Corticosteroids,1,Methylprednisolone,Solu-Medrol,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT04936854,high,PASS_CURATED_RULE
NCT05002998-288,NCT05002998,DRUG,Teprotumumab,TEPEZZA,"Teprotumumab is a fully human anti-IGF-1R mAb. Teprotumumab will be provided in single-dose 20-mL glass vials as a freeze-dried powder containing, in addition to the drug substance, 20 mmol/L histidine-histidine chloride, 250 mmol/L trehalose and 0.01% polysorbate 20 (w/w).

Prior to administration, each vial containing 500 mg teprotumumab freeze-dried powder will be reconstituted with 10 mL of sterile water for injection. The resulting solution will have a concentration of 47.6 mg/mL teprotumumab-trbw antibody. The reconstituted teprotumumab solution must be further diluted in 0.9% (w/v) sodium chloride (NaCl) solution prior to administration",Teprotumumab 16 Infusions | Teprotumumab 4 Infusions | Teprotumumab 8 Infusions,1,Teprotumumab,TEPEZZA,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05002998,high,PASS_CURATED_RULE
NCT05002998-289,NCT05002998,DRUG,Placebo,Saline Solution,"Placebo will consist of a normal saline (0.9% NaCl) solution and will be administered in 100 mL or 250 mL infusion bags, as appropriate, per weight-based dosing volumes.",Teprotumumab 4 Infusions,1,Placebo,Saline Solution,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05002998,high,PASS_CURATED_RULE
NCT05015127-062,NCT05015127,DRUG,HBM9161 680 mg qw by q2w from week 13,NR (none reported),HBM9161 680 mg qw by q2w from week 13,HBM9161 680 mg qw by q2w from week 13,1,Batoclimab,HBM9161 680 mg qw by q2w from week 13,active/intervention,pipeline/approved asset,FcRn,FcRn inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05015127,high,PASS_CURATED_RULE
NCT05015127-063,NCT05015127,DRUG,Placebo,NR (none reported),Placebo,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05015127,high,PASS_CURATED_RULE
NCT05015127-064,NCT05015127,DRUG,HBM9161 680 mg qw by q2w from week 7,NR (none reported),HBM9161 680 mg qw by q2w from week 7,HBM9161 680 mg qw by q2w from week 7,1,Batoclimab,HBM9161 680 mg qw by q2w from week 7,active/intervention,pipeline/approved asset,FcRn,FcRn inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05015127,high,PASS_CURATED_RULE
NCT05015127-065,NCT05015127,DRUG,Placebo,NR (none reported),Placebo qw by HBM9161 680mg qw from week 12,Placebo qw by HBM9161 680mg qw from week 12,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05015127,high,PASS_CURATED_RULE
NCT05049603-093,NCT05049603,DRUG,Atorvastatin 20mg,Study Group,"One tablet/day, given approximately at 10 pm, after dinner and before going to bed, for 24 weeks",Atorvastatin,1,Statin,Atorvastatin 20mg | Study Group,adjunct/supportive,adjunct/supportive,HMG-CoA reductase/pleiotropic pathways,Statin/pleiotropic anti-inflammatory,No,Adjunct/repurposing evidence; not core pipeline,ClinicalTrials.gov; NCT05049603,high,PASS_CURATED_RULE
NCT05049603-094,NCT05049603,OTHER,Placebo,Placebo group,"One tablet/day, given approximately at 10 pm, after dinner and before going to bed, for 24 weeks",Placebo,1,Placebo,Placebo group,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05049603,high,PASS_CURATED_RULE
NCT05110040-098,NCT05110040,DRUG,immunosuppressive agent,immunosuppressive regulator,patients with TAO recruited in this study will administrated with immunosuppressive agent per day,immunosuppressive agents,1,Unspecified immunosuppressive agent,immunosuppressive agent | immunosuppressive regulator,active/intervention,unknown-but-retained,Not registry-specified,Unspecified immunosuppression,Yes,NA (retained due registry opacity),ClinicalTrials.gov; NCT05110040,high,PASS_CURATED_RULE
NCT05118542-095,NCT05118542,DRUG,Propylthiouracil,NR (none reported),PTU were given to participants with adjusted dosage according to patient clinical assessment at every visit by their own endocrinologist.,PTU Group,1,Propylthiouracil,NR (no additional alias),standard of care,standard of care,Thyroid peroxidase/deiodination,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT05118542,high,PASS_CURATED_RULE
NCT05118542-096,NCT05118542,DRUG,Methimazole,NR (none reported),methimazole were given to participants with adjusted dosage according to patient clinical assessment at every visit by their own endocrinologist.,Methimazole Group,1,Methimazole / antithyroid drug,Methimazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT05118542,high,PASS_CURATED_RULE
NCT05126147-216,NCT05126147,DRUG,Hydroxychloroquine,Plaquenil,Compare the effects of hydroxychloroquine 200mg twice daily for 6 months with those without treatment.,Hydroxychloroquine,1,Hydroxychloroquine,Plaquenil,active/intervention,pipeline/approved asset,Pleiotropic immune pathways,Hydroxychloroquine immunomodulation,Yes,NA (included),ClinicalTrials.gov; NCT05126147,high,PASS_CURATED_RULE
NCT05176639-023,NCT05176639,DRUG,Veligrotug,VRDN-001,5 IV Infusions of veligrotug 10 mg/kg,Veligrotug,1,Veligrotug (Lumvoa),Veligrotug | VRDN-001,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05176639,high,PASS_CURATED_RULE
NCT05176639-024,NCT05176639,DRUG,Placebo,NR (none reported),5 IV Infusions of veligrotug matched placebo,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05176639,high,PASS_CURATED_RULE
NCT05199103-113,NCT05199103,DRUG,rabbit anti-thymocyte globulin,NR (none reported),"0.8 - 1.0 mg/kg of rATG (cumulative dose of 150-200 mg given intravenously in two or three divided doses, 24 hours apart) after premedication with methylprednisolone i.v. (in total dose of 375 mg), 1 mg of antihistaminic agent clemastine and 1000 mg paracetamol i.v.",Rabbit antithymocyte globulin (rATG),1,Rabbit anti-thymocyte globulin,NR (no additional alias),active/intervention,pipeline/approved asset,T lymphocytes,Broad T-cell depletion,Yes,NA (included; broad immunosuppression),ClinicalTrials.gov; NCT05199103,high,PASS_CURATED_RULE
NCT05276063-034,NCT05276063,DRUG,Linsitinib,NR (none reported),Study medication taken twice daily by mouth,High Dose | Low Dose,1,Linsitinib,NR (no additional alias),active/intervention,pipeline/approved asset,IGF-1R/insulin receptor kinases,IGF-1R-pathway kinase inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05276063,high,PASS_CURATED_RULE
NCT05276063-035,NCT05276063,DRUG,Placebo,NR (none reported),Placebo taken twice daily by mouth,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05276063,high,PASS_CURATED_RULE
NCT05331300-079,NCT05331300,DRUG,LASN01,NR (none reported),Escalating single and multiple doses of LASN01,LASN01 - Parts A and B [Healthy Volunteers],1,LASN01,NR (no additional alias),active/intervention,pipeline/approved asset,IL-11R,IL-11R blockade,Yes,NA (included),ClinicalTrials.gov; NCT05331300,high,PASS_CURATED_RULE
NCT05331300-080,NCT05331300,DRUG,LASN01,NR (none reported),LASN01 will be administered intravenously,LASN01 - Part C [Pulmonary Fibrosis] | LASN01 - Part D [Thyroid Eye Disease],1,LASN01,NR (no additional alias),active/intervention,pipeline/approved asset,IL-11R,IL-11R blockade,Yes,NA (included),ClinicalTrials.gov; NCT05331300,high,PASS_CURATED_RULE
NCT05331300-081,NCT05331300,DRUG,Placebo,NR (none reported),Escalating doses of matching placebo,Placebo - Parts A and B [Healthy Volunteers],1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05331300,high,PASS_CURATED_RULE
NCT05331300-082,NCT05331300,DRUG,Placebo,NR (none reported),Placebo will be administered intravenously,Placebo - Part C [Pulmonary Fibrosis] | Placebo - Part D [Thyroid Eye Disease],1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05331300,high,PASS_CURATED_RULE
NCT05394857-222,NCT05394857,DRUG,SHR-1314,NR (none reported),SHR-1314 subcutaneously,Treatment group,1,SHR-1314,NR (no additional alias),active/intervention,pipeline/approved asset,IL-6 pathway,IL-6 pathway blockade,Yes,NA (included),ClinicalTrials.gov; NCT05394857,high,PASS_CURATED_RULE
NCT05429450-053,NCT05429450,DRUG,Methotrexate,NR (none reported),"Three periocular injections of methotrexate at week 0, week 3 and week 6.",Methotrexate,1,Methotrexate,NR (no additional alias),standard of care,standard of care,Folate metabolism/immune modulation,Conventional immunosuppression,No,Managed in SoC table,ClinicalTrials.gov; NCT05429450,high,PASS_CURATED_RULE
NCT05429450-054,NCT05429450,DRUG,Triamcinolone Acetonide,NR (none reported),"Three periocular injections of triamcinolone acetonide at week 0, week 3 and week 6.",Triamcinolone acetonide,1,Triamcinolone,Triamcinolone Acetonide,standard of care,standard of care,Glucocorticoid receptor,Local glucocorticoid therapy,No,Managed in SoC table,ClinicalTrials.gov; NCT05429450,high,PASS_CURATED_RULE
NCT05461820-246,NCT05461820,DRUG,Methimazole,Thyrozol,"Methimazole used in this study was produced by Merck, Germany, and its trade name is Thyrozol. The specification of this drug is 10mg/ tablet, and its validity period is 36 months. It was approved by FDA in 2009 and listed in China in 2011.",Conventional treatment group | Intensive treatment group,1,Methimazole / antithyroid drug,Methimazole | Thyrozol,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT05461820,high,PASS_CURATED_RULE
NCT05517421-280,NCT05517421,DRUG,Batoclimab,IMVT-1401,Batoclimab is a fully human anti-neonatal fragment crystallizable receptor (FcRn) monoclonal antibody,Batoclimab,1,Batoclimab,IMVT-1401,active/intervention,pipeline/approved asset,FcRn,FcRn inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05517421,high,PASS_CURATED_RULE
NCT05517421-281,NCT05517421,DRUG,Placebo,NR (none reported),Matching Placebo,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05517421,high,PASS_CURATED_RULE
NCT05517447-211,NCT05517447,OTHER,Observational cohort study,NR (none reported),Observational cohort study,Observational cohort,1,Non-interventional registry entry,Observational cohort study,non-therapeutic/device,diagnostic/non-therapeutic,NA,No therapeutic intervention,No,Registry artefact/non-interventional entry,ClinicalTrials.gov; NCT05517447,high,PASS_CURATED_RULE
NCT05517447-212,NCT05517447,DRUG,Batoclimab,IMVT-1401,Batoclimab is a fully human anti-neonatal fragment crystallizable receptor (FcRn) monoclonal antibody,Treatment Cohort,1,Batoclimab,IMVT-1401,active/intervention,pipeline/approved asset,FcRn,FcRn inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05517447,high,PASS_CURATED_RULE
NCT05524571-103,NCT05524571,DRUG,Batoclimab,IMVT-1401,Batoclimab is a fully human anti-neonatal fragment crystallizable receptor (FcRn) monoclonal antibody,Batoclimab,1,Batoclimab,IMVT-1401,active/intervention,pipeline/approved asset,FcRn,FcRn inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05524571,high,PASS_CURATED_RULE
NCT05524571-104,NCT05524571,DRUG,Placebo,NR (none reported),Matching Placebo,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05524571,high,PASS_CURATED_RULE
NCT05532072-125,NCT05532072,DRUG,Rapamycin,Sirolimus,Rapamycin plus Methylprednisolone,The group of Meprednone combined with Rapamycin,1,Sirolimus (rapamycin),Rapamycin | Sirolimus,active/intervention,pipeline/approved asset,mTOR,mTOR inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05532072,high,PASS_CURATED_RULE
NCT05532072-126,NCT05532072,DRUG,Methylprednisolone,NR (none reported),Methylprednisolone Alone,The group of Meprednone alone | The group of Meprednone combined with Rapamycin,1,Methylprednisolone,NR (no additional alias),standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT05532072,high,PASS_CURATED_RULE
NCT05683496-270,NCT05683496,DRUG,lonigutamab,NR (none reported),subcutaneous injection,Cohort 1 | Cohort 2 | Cohort 3 | Cohort 4,1,Lonigutamab,NR (no additional alias),active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05683496,high,PASS_CURATED_RULE
NCT05683496-271,NCT05683496,DRUG,Placebo,NR (none reported),subcutaneous injection,Cohort 1,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05683496,high,PASS_CURATED_RULE
NCT05776121-017,NCT05776121,DRUG,ZB001 for injection,NR (none reported),Dose Cohort1 (3 mg/kg) ZB001 four IV injections,ZB001 for injection,1,ZB001,ZB001 for injection,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05776121,high,PASS_CURATED_RULE
NCT05776121-018,NCT05776121,DRUG,ZB001 for injection,NR (none reported),Dose Cohort2 (10 mg/kg) ZB001 four IV injections,ZB001 for injection,1,ZB001,ZB001 for injection,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05776121,high,PASS_CURATED_RULE
NCT05795621-172,NCT05795621,BIOLOGICAL,IBI311,NR (none reported),10 mg/kg on Day 1 followed by 20 mg/kg q3W for the remaining 7 infusions for phase II/III.,IBI311 | Placebo,1,IBI311,NR (no additional alias),active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05795621,high,PASS_CURATED_RULE
NCT05795621-173,NCT05795621,BIOLOGICAL,placebo,NR (none reported),4 does of placebo for phase II; 8 does of placebo for phase III.,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05795621,high,PASS_CURATED_RULE
NCT05907668-155,NCT05907668,DRUG,IMVT-1401 (batoclimab),IMVT-1401,Batoclimab is a fully human anti-neonatal fragment crystallizable receptor (FcRn) monoclonal antibody.,Batoclimab,1,Batoclimab,IMVT-1401 (batoclimab) | IMVT-1401,active/intervention,pipeline/approved asset,FcRn,FcRn inhibition,Yes,NA (included),ClinicalTrials.gov; NCT05907668,high,PASS_CURATED_RULE
NCT05987423-294,NCT05987423,DRUG,Satralizumab,NR (none reported),Satralizumab will be administered by SC injection.,Satralizumab,1,Satralizumab,NR (no additional alias),active/intervention,pipeline/approved asset,IL-6R,IL-6 receptor blockade,Yes,NA (included),ClinicalTrials.gov; NCT05987423,high,PASS_CURATED_RULE
NCT05987423-295,NCT05987423,DRUG,Placebo,NR (none reported),Placebo will be administered by SC injection,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT05987423,high,PASS_CURATED_RULE
NCT06021054-001,NCT06021054,DRUG,Veligrotug,VRDN-001,5 IV Infusions of veligrotug 10 mg/kg,Veligrotug,1,Veligrotug (Lumvoa),Veligrotug | VRDN-001,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT06021054,high,PASS_CURATED_RULE
NCT06021054-002,NCT06021054,DRUG,Placebo,NR (none reported),5 IV Infusions of veligrotug matched placebo,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT06021054,high,PASS_CURATED_RULE
NCT06068179-134,NCT06068179,DRUG,"Mycophenolate Mofetil, Oral, 250 Mg",NR (none reported),"Mycophenolate Mofetil, Oral, 500Mg twice daily for 12 months, combined with methimazole standard therapy",intervention group,1,Mycophenolate mofetil,"Mycophenolate Mofetil, Oral, 250 Mg",standard of care,standard of care,IMPDH,Conventional immunosuppression,No,Managed in SoC table,ClinicalTrials.gov; NCT06068179,high,PASS_CURATED_RULE
NCT06068179-135,NCT06068179,DRUG,"methimazole, oral, 10mg",NR (none reported),Methimazole 15-30mg daily initially then titrate to maintenance dose.,control group | intervention group,1,Methimazole / antithyroid drug,"methimazole, oral, 10mg",standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT06068179,high,PASS_CURATED_RULE
NCT06087731-156,NCT06087731,DRUG,Tocilizumab,NR (none reported),Tocilizumab (8mg/kg) every 4 wekks,tocilizumab,1,Tocilizumab,NR (no additional alias),active/intervention,pipeline/approved asset,IL-6R,IL-6 receptor blockade,Yes,NA (included),ClinicalTrials.gov; NCT06087731,high,PASS_CURATED_RULE
NCT06088979-129,NCT06088979,DRUG,TOUR006 - 20 MG,NR (none reported),TOUR006 20 MG,TOUR006 - 20 MG,1,TOUR006,TOUR006 - 20 MG,active/intervention,pipeline/approved asset,IL-6 pathway,IL-6 pathway blockade,Yes,NA (included),ClinicalTrials.gov; NCT06088979,high,PASS_CURATED_RULE
NCT06088979-130,NCT06088979,OTHER,Placebo,NR (none reported),Placebo,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT06088979,high,PASS_CURATED_RULE
NCT06088979-131,NCT06088979,DRUG,TOUR006 - 50 MG,NR (none reported),TOUR006 - 50 MG,TOUR006 - 50 MG,1,TOUR006,TOUR006 - 50 MG,active/intervention,pipeline/approved asset,IL-6 pathway,IL-6 pathway blockade,Yes,NA (included),ClinicalTrials.gov; NCT06088979,high,PASS_CURATED_RULE
NCT06106828-046,NCT06106828,DRUG,Satralizumab,NR (none reported),Satralizumab will be administered by SC injection.,Satralizumab,1,Satralizumab,NR (no additional alias),active/intervention,pipeline/approved asset,IL-6R,IL-6 receptor blockade,Yes,NA (included),ClinicalTrials.gov; NCT06106828,high,PASS_CURATED_RULE
NCT06106828-047,NCT06106828,DRUG,Placebo,NR (none reported),Placebo will be administered by SC injection,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT06106828,high,PASS_CURATED_RULE
NCT06112340-194,NCT06112340,DRUG,linsitinib,NR (none reported),Study medication taken twice daily by mouth,High Dose | Low Dose,1,Linsitinib,NR (no additional alias),active/intervention,pipeline/approved asset,IGF-1R/insulin receptor kinases,IGF-1R-pathway kinase inhibition,Yes,NA (included),ClinicalTrials.gov; NCT06112340,high,PASS_CURATED_RULE
NCT06126783-284,NCT06126783,DRUG,IBI311,NR (none reported),"The first dose was 10 mg/kg, followed by 7 maintenance doses of 20 mg/kg, Q3W",IBI311,1,IBI311,NR (no additional alias),active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT06126783,high,PASS_CURATED_RULE
NCT06179875-314,NCT06179875,DRUG,Veligrotug,VRDN-001,Veligrotug 10 mg/kg (5 infusions of Veligrotug 10 mg/kg),Placebo/Veligrotug | Veligrotug/Veligrotug,1,Veligrotug (Lumvoa),Veligrotug | VRDN-001,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT06179875,high,PASS_CURATED_RULE
NCT06226545-274,NCT06226545,DRUG,LASN01,Low-dose LASN01,Low dose of LASN01 will be administered intravenously.,Randomized low-dose LASN01 (anti-IGF-1R-naïve TED),1,LASN01,Low-dose LASN01,active/intervention,pipeline/approved asset,IL-11R,IL-11R blockade,Yes,NA (included),ClinicalTrials.gov; NCT06226545,high,PASS_CURATED_RULE
NCT06226545-275,NCT06226545,DRUG,LASN01,High-dose LASN01,High dose of LASN01 will be administered intravenously.,Randomized high-dose LASN01 (anti-IGF-1R-naïve TED),1,LASN01,High-dose LASN01,active/intervention,pipeline/approved asset,IL-11R,IL-11R blockade,Yes,NA (included),ClinicalTrials.gov; NCT06226545,high,PASS_CURATED_RULE
NCT06226545-276,NCT06226545,DRUG,Placebo,Placebo to match,Placebo will be administered intravenously.,Randomized placebo (anti-IGF-1R-naïve TED),1,Placebo,Placebo to match,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT06226545,high,PASS_CURATED_RULE
