blind_order,blind_id,claim_id,claim_type,machine_status,checks_total,checks_failed,failed_checks,evidence_locator,source_ids,exact_anchor_count,evidence_digest,claim_text,value
101,BLIND-0101,ASSET-039,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Technetium-99 methylene diphosphonate (99Tc-MDP),814,1,CANONICAL:pipeline_assets_v2.csv::asset=Technetium-99 methylene diphosphonate (99Tc-MDP);row_sha256=0d61f0eedc9bf9676bf4c14642c907e2d0d1b17dc6035eaf7e756d80c74f9251,Technetium-99 methylene diphosphonate (99Tc-MDP): indication=Active moderate-to-severe TED; target=Not registry-specified; highest_stage=Highest registered phase: PHASE4; status=Registered statuses: COMPLETED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE4 | Registered statuses: COMPLETED | Low (registry-level completeness row; not an efficacy judgment)
102,BLIND-0102,TRIAL-005-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT01950260; field=primary_interpretation,782,1,TRIAL-RESULT-NCT01950260: RAI 후 조기 levothyroxine은 8주 overt hypothyroidism primary endpoint를 유의하게 줄이지 못했다.,NCT01950260: RAI 후 조기 levothyroxine은 8주 overt hypothyroidism primary endpoint를 유의하게 줄이지 못했다.,negative_primary
103,BLIND-0103,POTENTIAL-03,internal_rd_potential_confidence,PASS,7,0,NA (no failed structural checks),"pipeline_assets_v2.csv::asset=GenSci098 / YB-101;fields=weighted_potential_0_3,evidence_confidence",NA (internal canonical evidence),1,"CANONICAL:pipeline_assets_v2.csv::asset=GenSci098 / YB-101;fields=weighted_potential_0_3,evidence_confidence",GenSci098 / YB-101: hypothesis-weighted R&D potential=2.05/3; evidence confidence=Moderate.,2.05
104,BLIND-0104,POTENTIAL-06,internal_rd_potential_confidence,PASS,7,0,NA (no failed structural checks),"pipeline_assets_v2.csv::asset=IBI3031;fields=weighted_potential_0_3,evidence_confidence",NA (internal canonical evidence),1,"CANONICAL:pipeline_assets_v2.csv::asset=IBI3031;fields=weighted_potential_0_3,evidence_confidence",IBI3031: hypothesis-weighted R&D potential=1.6/3; evidence confidence=Low.,1.6
105,BLIND-0105,REG-JP-LUMVOA-ACCESS,regional_reimbursement_access_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-JP-TED-LUMVOA; field=reimbursement_access,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-JP-TED-LUMVOA;field=reimbursement_access,Japan Lumvoa reimbursement/access: unresolved,unresolved
106,BLIND-0106,REG-UK-LUMVOA-AUTH,regional_authorization_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-UK-TED-LUMVOA; field=authorization_status_scope,749,1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-UK-TED-LUMVOA;field=authorization_status_scope,United Kingdom Lumvoa authorization: unresolved (no relevant official UK product or appraisal record identified; this does not prove non-authorization),unresolved (no relevant official UK product or appraisal record identified; this does not prove non-authorization)
107,BLIND-0107,TRIAL-019-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT05907668; field=efficacy,843,1,TRIAL-RESULT-NCT05907668: batoclimab+background ATD에서 biochemical control 및 ATD reduction 신호가 있었지만 remission/cure 증거는 아니다.,NCT05907668: Week 24 biochemical response without ATD increase 68.8% (95% CI 50.0–83.9); normalized FT3/FT4 with ATD ≤50% baseline 53.1%; off ATD with normalized FT3/FT4 31.3% (95% CI 16.1–50.0).,Week 24 biochemical response without ATD increase 68.8% (95% CI 50.0–83.9); normalized FT3/FT4 with ATD ≤50% baseline 53.1%; off ATD with normalized FT3/FT4 31.3% (95% CI 16.1–50.0).
108,BLIND-0108,TRIAL-017-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT05176639; field=efficacy,829,1,TRIAL-RESULT-NCT05176639: THRIVE에서 veligrotug은 Week 15에 큰 proptosis/overall response 효과를 보였다.,"NCT05176639: PRR 70.0% vs 5.26%, p<0.0001; proptosis LS change −2.90 vs −0.48 mm; overall response 66.83% vs 5.26%; diplopia response 59.07% vs 19.89%.","PRR 70.0% vs 5.26%, p<0.0001; proptosis LS change −2.90 vs −0.48 mm; overall response 66.83% vs 5.26%; diplopia response 59.07% vs 19.89%."
109,BLIND-0109,ASSET-005,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Batoclimab,683; 812; 813; 824; 836; 837; 838; 843,1,CANONICAL:pipeline_assets_v2.csv::asset=Batoclimab;row_sha256=5af2caa9f1531c3dae999b5bf4dee6db8fb1599192a11458f0cfd00faf6c2dba,Batoclimab: indication=GD; TED; target=FcRn; highest_stage=Phase 2; status=Completed/earlier program interrupted; tier=Adjacent; evidence_confidence=Moderate.,Phase 2 | Completed/earlier program interrupted | Moderate
110,BLIND-0110,DOC-CONTROL-004,internal_document_control,PASS,6,0,NA (no failed structural checks),plan2.md::frozen-contract::provisional QA state,NA (internal canonical evidence),1,INTERNAL_PLAN:plan2.md::frozen-contract::provisional QA state,이 문서는 first-pass report이며 stance-hidden second-pass verdict가 pending이다; final release에는 support verdict claim만 표시한다.,이 문서는 first-pass report이며 stance-hidden second-pass verdict가 pending이다; final release에는 support verdict claim만 표시한다.
111,BLIND-0111,TRIAL-007-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT02713256; field=primary_interpretation,796,1,TRIAL-RESULT-NCT02713256: iscalimab 단일군에서 Week 12 TSH normalization은 0%였다.,NCT02713256: iscalimab 단일군에서 Week 12 TSH normalization은 0%였다.,single_arm_weak
112,BLIND-0112,ASSET-013,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Hydroxychloroquine,828,1,CANONICAL:pipeline_assets_v2.csv::asset=Hydroxychloroquine;row_sha256=17f3b0852693dbb38a2d215b2f4e04ba5771c7aa69b78936cb1db9d361e57367,Hydroxychloroquine: indication=Mild TED; target=Pleiotropic immune pathways; highest_stage=Highest registered phase: PHASE4; status=Registered statuses: RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE4 | Registered statuses: RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
113,BLIND-0113,ENDPOINT-008,analytical_endpoint_definition,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,"TED의 PRR, CAS, diplopia, GO-QOL, overall response 및 imaging endpoint는 GD biochemical remission과 교환 가능하지 않다.",NA (not a scalar claim)
114,BLIND-0114,ASSET-021,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Lanreotide,758,1,CANONICAL:pipeline_assets_v2.csv::asset=Lanreotide;row_sha256=1dc34e238453776131b47ce94bcc4962bd55c2e468a7d0c239731ecd09a91a8a,Lanreotide: indication=Active TED; target=Somatostatin receptors; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: TERMINATED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: TERMINATED | Low (registry-level completeness row; not an efficacy judgment)
115,BLIND-0115,METHOD-005,internal_inventory_count,PASS,6,0,NA (no failed structural checks),registry_cut_reconciliation_2026-09-10.json::field=drift_row_count,NA (internal canonical evidence),1,CANONICAL:registry_cut_reconciliation_2026-09-10.json::field=drift_row_count,Baseline과 frozen cut 사이 tracked registry drift는 0건이었다.,0
116,BLIND-0116,ASSET-034,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Satralizumab,675; 699; 701; 844; 849,1,CANONICAL:pipeline_assets_v2.csv::asset=Satralizumab;row_sha256=5b521d4b29fc033735c2cd5f565f45f698458c0e3b5d82d5504154dd8d91b53c,Satralizumab: indication=TED; target=IL-6R; highest_stage=Regulatory review US; status=Pending at cutoff; not FDA-approved for TED; tier=Adjacent; evidence_confidence=Moderate.,Regulatory review US | Pending at cutoff; not FDA-approved for TED | Moderate
117,BLIND-0117,DIRECT-OTHER-05,direct_program_inventory_status,PASS,7,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=WP1302,854,1,"CANONICAL:pipeline_assets_v2.csv::asset=WP1302;fields=target,highest_stage,status,trial_ids",WP1302: target=TSHR-reactive T cells; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: SUSPENDED; trial_ids=NCT06240455.,Highest registered phase: PHASE2 | Registered statuses: SUSPENDED
118,BLIND-0118,TRIAL-001-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT00595335; field=efficacy,762,1,TRIAL-RESULT-NCT00595335: 6개월 CAS 변화와 failure rate에서 rituximab이 methylprednisolone 대비 우월하지 않았다.,"NCT00595335: CAS change −1.2 (n=13) vs −1.5 (n=12), p=0.73; failure 69% vs 75%, p=0.75.","CAS change −1.2 (n=13) vs −1.5 (n=12), p=0.73; failure 69% vs 75%, p=0.75."
119,BLIND-0119,REG-EU-TEPEZZA-AUTH,regional_authorization_status,PASS,8,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-EU-TED-TEPEZZA; field=authorization_status_scope,729,3,"EU-EMA-TEPEZZA-INDICATION: Tepezza is a medicine used to treat adults with moderate to severe thyroid eye disease (TED, also known as Graves’ eye disease), an autoimmu || EU-EMA-TEPEZZA-AUTH-DATE: Tepezza received a marketing authorisation valid throughout the EU on 19 June 2025. || CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-EU-TED-TEPEZZA;field=authorization_status_scope",EU/EEA Tepezza authorization: EU marketing authorization valid throughout the EU from 2025-06-19 for adults with moderate-to-severe TED,EU marketing authorization valid throughout the EU from 2025-06-19 for adults with moderate-to-severe TED
120,BLIND-0120,REG-JP-TEPEZZA-ACCESS,regional_reimbursement_access_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-JP-TED-TEPEZZA; field=reimbursement_access,752,1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-JP-TED-TEPEZZA;field=reimbursement_access,Japan Tepezza reimbursement/access: unresolved (official reimbursement/price-list locator not verified in this pass),unresolved (official reimbursement/price-list locator not verified in this pass)
121,BLIND-0121,REG-UK-TEPEZZA-ACCESS,regional_reimbursement_access_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-UK-TED-TEPEZZA; field=reimbursement_access,732; 733,5,UK-NICE-TEPEZZA-EXPECTED-DATE-TBC: Expected publication date: TBC || UK-NICE-TEPEZZA-IN-PROGRESS: Status: In progress Technology type: Medicine Decision: Selected Decision publication date: 10 April 2024 Prioritisation programme: Medicine || UK-NICE-TEPEZZA-PROVISIONAL-SCHEDULE: Provisional Schedule Draft guidance: 08 September 2026 - 29 September 2026 Committee meeting: 3: 05 January 2027,United Kingdom Tepezza reimbursement/access: unresolved for NHS access; NICE appraisal status in progress at the cutoff,unresolved for NHS access; NICE appraisal status in progress at the cutoff
122,BLIND-0122,DIRECT-OTHER-02,direct_program_inventory_status,PASS,7,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=K1-70,164; 799,1,"CANONICAL:pipeline_assets_v2.csv::asset=K1-70;fields=target,highest_stage,status,trial_ids",K1-70: target=TSHR; highest_stage=Phase 1; status=Early clinical; trial_ids=NCT02904330; Japanese Phase 1 publication.,Phase 1 | Early clinical
123,BLIND-0123,METHOD-014,internal_status_count,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::field=overall_status; value=SUSPENDED,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::field=overall_status | value=SUSPENDED,SUSPENDED status trial은 1개였다.,1
124,BLIND-0124,POTENTIAL-01,internal_rd_potential_confidence,PASS,7,0,NA (no failed structural checks),"pipeline_assets_v2.csv::asset=LCA-0321;fields=weighted_potential_0_3,evidence_confidence",NA (internal canonical evidence),1,"CANONICAL:pipeline_assets_v2.csv::asset=LCA-0321;fields=weighted_potential_0_3,evidence_confidence",LCA-0321: hypothesis-weighted R&D potential=2.35/3; evidence confidence=Low.,2.35
125,BLIND-0125,ENDPOINT-005,analytical_endpoint_definition,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,Relapse는 ATD 중단 후 재발을 뜻하며 RAI 후 persistent hyperthyroidism과 별도 failure state로 기록한다.,NA (not a scalar claim)
126,BLIND-0126,ASSET-047,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=WP1302,854,1,CANONICAL:pipeline_assets_v2.csv::asset=WP1302;row_sha256=f4c0ec8eb4a9fff3296c8a224c3aa1d8037178cfc637b3d7cec69f3ae6c5ad7e,WP1302: indication=GD / autoimmune hyperthyroidism; target=TSHR-reactive T cells; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: SUSPENDED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: SUSPENDED | Low (registry-level completeness row; not an efficacy judgment)
127,BLIND-0127,CONCLUSION-002,direct_program_stage_confidence_summary,PASS,6,0,NA (no failed structural checks),"claim_evidence_anchors_v2.csv; pipeline_assets_v2.csv::assets=LCA-0321,MER511; fields=target,highest_stage,evidence_confidence",1; 2; 6; 7; 8; 898,6,"LCA0321-SPONSOR-IDENTITY-MECHANISM: | LCA-0321 | a-TSHR AAbs LYTAC degrader | Graves’ Disease | | | | | || LCA0321-CTIS-PHASE-STATUS: 2025-524053-14-00 Protocol LCA-0321-01 Human pharmacology (Phase I) - First administration to humans Ongoing, recruiting || MER511-SPONSOR-PRECISION-DESIGN: Merida is developing MER511, a precision biologic designed to selectively eliminate pathogenic autoantibodies and their B-cell sources while","LCA-0321과 MER511은 anti-TSHR autoantibody axis를 직접 겨냥하는 Phase 1 programs이며, canonical analytic table의 evidence confidence는 각각 Low와 Low–moderate다.",LCA-0321: Phase 1/Low; MER511: Phase 1/Low–moderate
128,BLIND-0128,TRIAL-015-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT04583735; field=efficacy,817,1,TRIAL-RESULT-NCT04583735: chronic/low-activity TED에서도 teprotumumab은 Week 24 proptosis를 유의하게 개선했다.,"NCT04583735: LS change −2.41 vs −0.92 mm; difference −1.48 (95% CI −2.28 to −0.69), p=0.0004.","LS change −2.41 vs −0.92 mm; difference −1.48 (95% CI −2.28 to −0.69), p=0.0004."
129,BLIND-0129,DIRECT-LCA-PHASE-STATUS,direct_program_mechanism_or_status,PASS,6,0,NA (no failed structural checks),claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:LCA0321-CTIS-PHASE-STATUS;DIRECT_ANCHOR:LCA0321-CTIS-SAD-MAD-TITLE,2,2,"LCA0321-CTIS-PHASE-STATUS: 2025-524053-14-00 Protocol LCA-0321-01 Human pharmacology (Phase I) - First administration to humans Ongoing, recruiting || LCA0321-CTIS-SAD-MAD-TITLE: # Phase 1 Single Ascending and Multiple Ascending Dose Study with LCA-0321","CTIS 2025-524053-14-00/LCA-0321-01은 Phase 1 first-in-human SAD/MAD이며 frozen cut에서 ongoing, recruiting이었다.","CTIS 2025-524053-14-00/LCA-0321-01은 Phase 1 first-in-human SAD/MAD이며 frozen cut에서 ongoing, recruiting이었다."
130,BLIND-0130,HIST-KR-RAI-UNIFORM,historical_failed_claim,PASS,6,0,NA (no failed structural checks),source_anchors_v2.csv::SOURCE_ANCHOR:KR-KTA2025-RAI-R5.3-NARRATIVE;SOURCE_ANCHOR:KR-KTA2025-RAI-R5.3-TABLE,28,2,"KR-KTA2025-RAI-R5.3-NARRATIVE: 5.3. In patients with inactive moderate-to-severe TED, prophylactic 
corticosteroid therapy may be considered during RAI treatment 
when add || KR-KTA2025-RAI-R5.3-TABLE: Inactive No steroid prophylaxis 
required
Consider steroid 
prophylaxis
No steroid prophylaxis 
required
Steroid prophylaxis 
recommended",Korean Recommendation 5.3 uniformly states that steroid prophylaxis is recommended for inactive moderate-to-severe TED with additional risk factors.,Korean Recommendation 5.3 uniformly states that steroid prophylaxis is recommended for inactive moderate-to-severe TED with additional risk factors.
131,BLIND-0131,TRIAL-023-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06179875; field=primary_interpretation,852,1,TRIAL-RESULT-NCT06179875: feeder-trial nonresponders의 open-label treatment 결과이며 randomized comparative efficacy로 해석할 수 없다.,NCT06179875: feeder-trial nonresponders의 open-label treatment 결과이며 randomized comparative efficacy로 해석할 수 없다.,selected_open_label
132,BLIND-0132,ASSET-017,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Iscalimab (CFZ533),796,1,CANONICAL:pipeline_assets_v2.csv::asset=Iscalimab (CFZ533);row_sha256=803cc28c73323d18ef916c90a6fa75e9a6351d94ecea84ac2da0ea862542a4fb,Iscalimab (CFZ533): indication=GD / autoimmune hyperthyroidism; target=CD40; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: COMPLETED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: COMPLETED | Low (registry-level completeness row; not an efficacy judgment)
133,BLIND-0133,TRIAL-016-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT04737330; field=primary_interpretation,819,1,TRIAL-RESULT-NCT04737330: secukinumab은 futility로 종료되었고 Week 16 response가 관찰되지 않았다.,NCT04737330: secukinumab은 futility로 종료되었고 Week 16 response가 관찰되지 않았다.,negative_futility
134,BLIND-0134,ASSET-006,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=BHV-1300,879; 914,1,CANONICAL:pipeline_assets_v2.csv::asset=BHV-1300;row_sha256=a1b7d1a81935a96a122ed0875220172305bb41bdafb966341db684e92bc2beb9,BHV-1300: indication=GD / autoimmune hyperthyroidism; target=IgG/extracellular degradation pathway; highest_stage=Highest registered phase: PHASE3; status=Registered statuses: RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE3 | Registered statuses: RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
135,BLIND-0135,CONCLUSION-001,bounded_evidence_summary,PASS,6,0,NA (no failed structural checks),result_trial_curation_v2.csv; soc_outcomes_v2.csv::trial_id=NCT01868997; soc_id in SOC-US/EU/UK/JP-TED-TEPEZZA,728; 729; 731; 735; 780,5,"TRIAL-RESULT-NCT01868997: active TED에서 teprotumumab은 Week 24 composite response와 proptosis를 유의하게 개선했다. || US-TEPEZZA-LABEL-INDICATION: TEPEZZA is indicated for the treatment of Thyroid Eye Disease regardless of Thyroid Eye Disease activity or duration. || EU-EMA-TEPEZZA-INDICATION: Tepezza is a medicine used to treat adults with moderate to severe thyroid eye disease (TED, also known as Graves’ eye disease), an autoimmu","IGF-1R class에는 randomized TED trial evidence와 US, EU/EEA, UK, Japan의 regulatory authorization evidence가 존재하지만, 이를 GD pathogenic autoimmunity 제거 또는 durable off-treatment remission의 증거로 전환하지 않는다.",randomized TED evidence plus four-region authorization evidence; no GD-remission extrapolation
136,BLIND-0136,REG-KR-TEPEZZA-ACCESS,regional_reimbursement_access_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-KR-TED-TEPEZZA; field=reimbursement_access,746,1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-KR-TED-TEPEZZA;field=reimbursement_access,South Korea Tepezza reimbursement/access: unresolved (no relevant official HIRA reimbursement record identified; this does not prove non-reimbursement),unresolved (no relevant official HIRA reimbursement record identified; this does not prove non-reimbursement)
137,BLIND-0137,DOC-CONTROL-003,internal_document_control,PASS,6,0,NA (no failed structural checks),plan2.md::frozen-contract::analysis boundary,NA (internal canonical evidence),1,INTERNAL_PLAN:plan2.md::frozen-contract::analysis boundary,"Quantitative meta-analysis, naïve pooling, cross-trial efficacy ranking을 수행하지 않으며 R&D potential과 evidence confidence를 분리한다.","Quantitative meta-analysis, naïve pooling, cross-trial efficacy ranking을 수행하지 않으며 R&D potential과 evidence confidence를 분리한다."
138,BLIND-0138,ASSET-025,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Lonigutamab,840,1,CANONICAL:pipeline_assets_v2.csv::asset=Lonigutamab;row_sha256=35f95fd1e31bba37dabc318e7a2f6e542b41bfaf320dd130b6e63abf8c99125d,Lonigutamab: indication=Active TED; target=IGF-1R; highest_stage=Highest registered phase: PHASE1; PHASE2; status=Registered statuses: COMPLETED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE1; PHASE2 | Registered statuses: COMPLETED | Low (registry-level completeness row; not an efficacy judgment)
139,BLIND-0139,ASSET-046,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=VRDN-003,871; 872; 877; 889; 891,1,CANONICAL:pipeline_assets_v2.csv::asset=VRDN-003;row_sha256=d1992a3af28d79aee6cdac2e67c7c62748e60c641ad556f2c23dd39fd14e98db,"VRDN-003: indication=Active moderate-to-severe TED; Chronic/inactive TED; TED, any CAS / mixed activity; target=IGF-1R; highest_stage=Highest registered phase: PHASE3; status=Registered statuses: ACTIVE_NOT_RECRUITING; COMPLETED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).",Highest registered phase: PHASE3 | Registered statuses: ACTIVE_NOT_RECRUITING; COMPLETED | Low (registry-level completeness row; not an efficacy judgment)
140,BLIND-0140,ASSET-043,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=TOUR006,848,1,CANONICAL:pipeline_assets_v2.csv::asset=TOUR006;row_sha256=fcc28e5dd767a2b521ce2acc35ad59d8450bab794ed7c2269936a509f79e2965,TOUR006: indication=Active moderate-to-severe TED; target=IL-6 pathway; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: ACTIVE_NOT_RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: ACTIVE_NOT_RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
141,BLIND-0141,DIRECT-OTHER-01,direct_program_inventory_status,PASS,7,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=GenSci098 / YB-101,541; 870; 897; 915,1,"CANONICAL:pipeline_assets_v2.csv::asset=GenSci098 / YB-101;fields=target,highest_stage,status,trial_ids",GenSci098 / YB-101: target=TSHR; highest_stage=Phase 2; status=Active development; trial_ids=NCT06569758; NCT07286656; NCT07682896.,Phase 2 | Active development
142,BLIND-0142,ASSET-009,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Efgartigimod PH20 SC,857; 858; 906; 908,1,CANONICAL:pipeline_assets_v2.csv::asset=Efgartigimod PH20 SC;row_sha256=bf8fec70369352e74fd5a3601cab61988ddfe6c9a3dade8c06c921021a90c494,Efgartigimod PH20 SC: indication=Active moderate-to-severe TED; GD / autoimmune hyperthyroidism; target=FcRn; highest_stage=Highest registered phase: PHASE3; status=Registered statuses: TERMINATED; RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE3 | Registered statuses: TERMINATED; RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
143,BLIND-0143,TRIAL-017-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT05176639; field=primary_interpretation,829,1,TRIAL-RESULT-NCT05176639: THRIVE에서 veligrotug은 Week 15에 큰 proptosis/overall response 효과를 보였다.,NCT05176639: THRIVE에서 veligrotug은 Week 15에 큰 proptosis/overall response 효과를 보였다.,positive_randomized
144,BLIND-0144,REG-US-TEPEZZA-AUTH,regional_authorization_status,PASS,8,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA; field=authorization_status_scope,728,2,US-TEPEZZA-LABEL-INDICATION: TEPEZZA is indicated for the treatment of Thyroid Eye Disease regardless of Thyroid Eye Disease activity or duration. || CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA;field=authorization_status_scope,United States Tepezza authorization: approved in the United States; labeled for TED regardless of activity or duration,approved in the United States; labeled for TED regardless of activity or duration
145,BLIND-0145,ASSET-003,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=AMG 732,862; 903,1,CANONICAL:pipeline_assets_v2.csv::asset=AMG 732;row_sha256=6addc9644414ce322c1e98c0d98074d56a7bb15721410a3775c44b4ae297aa12,AMG 732: indication=TED; target=IGF-1R; highest_stage=Phase 2; status=Active; tier=Comparator; evidence_confidence=Low.,Phase 2 | Active | Low
146,BLIND-0146,METHOD-013,internal_status_count,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::field=overall_status; value=ENROLLING_BY_INVITATION,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::field=overall_status | value=ENROLLING_BY_INVITATION,ENROLLING_BY_INVITATION status trial은 2개였다.,2
147,BLIND-0147,DIRECT-MER-PHASE-STATUS,direct_program_mechanism_or_status,PASS,6,0,NA (no failed structural checks),claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:MER511-NEXUS-OFFICIAL-TITLE;DIRECT_ANCHOR:MER511-NEXUS-RECRUITING;DIRECT_ANCHOR:MER511-NEXUS-ROUTES-PURPOSE;DIRECT_ANCHOR:MER511-NEXUS-AGE-PKPD,7; 898,4,"MER511-NEXUS-OFFICIAL-TITLE: - Official title: A Phase 1, First-in-Human, Placebo-Controlled, Single and Multiple Ascending Dose Study to Evaluate Safety, Tolerability,  || MER511-NEXUS-RECRUITING: - Status: RECRUITING || MER511-NEXUS-ROUTES-PURPOSE: The purpose of this study is to evaluate how well MER511 is tolerated and what side effects may occur in adults who have Graves' disease. Th",NEXUS NCT07305818은 18–55세 adult GD에서 IV/SC MER511 SAD/MAD를 평가하는 placebo-controlled Phase 1 first-in-human study이며 frozen cut에서 recruiting이었다.,NEXUS NCT07305818은 18–55세 adult GD에서 IV/SC MER511 SAD/MAD를 평가하는 placebo-controlled Phase 1 first-in-human study이며 frozen cut에서 recruiting이었다.
148,BLIND-0148,TRIAL-004-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT01868997; field=efficacy,780,1,TRIAL-RESULT-NCT01868997: active TED에서 teprotumumab은 Week 24 composite response와 proptosis를 유의하게 개선했다.,"NCT01868997: Composite response 29/42 vs 9/45, p<0.001; OR 8.86 (95% CI 3.293–23.825); proptosis LS change −2.46 vs −0.15 mm.","Composite response 29/42 vs 9/45, p<0.001; OR 8.86 (95% CI 3.293–23.825); proptosis LS change −2.46 vs −0.15 mm."
